CID,MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D
2744814,473.4,5.6,471.998609,471.998609,121,559,0,1,6,6,30,0,0,0,0,0,0,0,1,341.3,9.21,5.63,1.97,9,3,1,0,1,4,0,1,7,10
2821293,510,4.9,509.035865,509.035865,126,670,0,1,9,6,33,0,0,0,0,0,0,0,1,360.6,12.71,5.23,1.68,9,3,1,0,1,4,0,1.2,8,10
2820912,519.1,6.3,518.013024,518.013024,175,627,0,1,8,7,32,0,0,0,0,0,0,0,1,376.7,9.56,5.75,2.12,10,3,1,0,1,4,1,1,8,10
2820914,519.1,6.3,518.013024,518.013024,175,635,0,1,8,7,32,0,0,0,0,0,0,0,1,376.8,9.01,5.52,2.36,10,3,1,0,1,4,1,1.2,8,10
2744846,460,4.4,459.004901,459.004901,162,554,0,1,8,6,29,0,0,0,0,0,0,0,1,332.3,10.12,5.41,1.57,10,4,1,0,1,4,0,1,7,10
2745617,422.9,4.4,422.060425,422.060425,106,529,0,1,6,6,29,0,0,0,0,0,0,0,1,316.6,10.38,5.83,1.05,9,3,1,0,1,4,0,1,7,10
2745640,525.3,5.9,524.008837,524.008837,106,687,0,1,9,6,34,0,0,0,0,0,0,0,1,368.4,11.83,6,1.32,9,3,1,0,1,4,0,1,8,10
2745653,457.3,5,456.021452,456.021452,106,567,0,1,6,6,30,0,0,0,0,0,0,0,1,332.2,10.23,5.86,1.35,9,3,1,0,1,4,0,1,7,10
16075059,356.3,4.7,355.031289,355.031289,80.2,354,0,1,4,6,22,0,0,0,0,0,0,0,1,260.7,8.02,3.97,2.5,7,2,1,0,1,2,1,0.8,7,10
135411083,471.5,1.2,471.067111,471.067111,197,955,0,3,9,7,32,0,0,0,0,0,0,0,1,342.8,9.33,5.55,2.17,12,6,3,0,0,3,0,1.2,8,10
2811874,369.5,4.5,369.096955,369.096955,108,427,0,1,5,6,25,0,0,0,0,0,0,0,1,286.6,10.99,4.44,1.1,8,2,1,0,1,3,1,1,7,10
135410958,397.4,2.7,397.109627,397.109627,114,631,0,2,6,7,28,0,0,0,0,0,0,0,1,303.2,8.11,5.08,2.54,9,4,2,0,0,3,0,1,8,10
135411084,434.5,2.3,434.104876,434.104876,146,836,0,2,7,7,31,0,0,0,0,0,0,0,1,332.2,8.72,5.61,2.2,10,5,2,0,0,3,0,1,8,10
135411085,462.5,3.3,462.136176,462.136176,146,890,0,2,7,8,33,0,1,0,1,0,0,0,1,359,8.06,7.24,2.3,11,5,2,0,0,3,1,1.2,9,10
135408428,401.9,3.7,401.06009,401.06009,105,619,0,2,5,6,27,0,0,0,0,0,0,0,1,297.6,7.46,5.43,1.62,8,3,2,0,0,3,0,1.4,7,10
135410963,401.9,3.7,401.06009,401.06009,105,609,0,2,5,6,27,0,0,0,0,0,0,0,1,298.2,14.71,3.63,2.03,8,3,2,0,0,3,0,1.2,7,10
2744870,511.1,5.9,510.095096,510.095096,131,638,0,1,7,9,34,0,0,0,0,0,0,0,1,385.3,13.71,6.19,1.88,11,4,1,0,1,4,1,1.4,10,10
135411086,403.4,1.7,403.081362,403.081362,114,613,0,2,9,7,27,0,0,0,0,0,0,0,1,289.1,12.12,3.58,1.43,8,4,2,0,0,2,0,1,9,10
